ARCT11  ;1040.0;03/09/2020;
ARRI11  ;77.49;03/09/2020;
ATSA11  ;113.5;03/09/2020;
BARI11  ;105.82;03/09/2020;
BBFI11B ;2391.0;03/09/2020;
BBPO11  ;136.17;03/09/2020;
BBRC11  ;149.39;03/09/2020;
BBVJ11  ;58.5;03/09/2020;
BCFF11  ;90.5;03/09/2020;
BCIA11  ;129.0;03/09/2020;
BCRI11  ;108.71;03/09/2020;
BICR11  ;103.0;03/09/2020;
BLCP11  ;101.6;03/09/2020;
BMLC11B ;94.89;03/09/2020;
BNFS11  ;126.76;03/09/2020;
BPFF11  ;82.47;03/09/2020;
BPFF12  ;0.24;03/09/2020;
BPML11  ;115.0;03/09/2020;
BPRP11  ;124.93;03/09/2020;
BRCO11  ;124.5;03/09/2020;
BRCR11  ;88.25;03/09/2020;
BREV11  ;105.0;03/09/2020;
BTCR11  ;85.62;03/09/2020;
BTLG11  ;108.95;03/09/2020;
CARE11  ;0.87;03/09/2020;
CBOP11  ;78.5;03/09/2020;
CEOC11  ;82.6;03/09/2020;
CNES11  ;65.81;03/09/2020;
CPFF11  ;78.61;03/09/2020;
CPTS11  ;95.85;03/09/2020;
CRFF11  ;81.86;03/09/2020;
CTXT11  ;48.0;03/09/2020;
CVBI11  ;93.0;03/09/2020;
CXCE11B ;100.14;03/09/2020;
CXRI11  ;1537.72;03/09/2020;
CXTL11  ;319.0;03/09/2020;
DMAC11  ;385.0;03/09/2020;
DRIT11B ;140.01;03/09/2020;
EDFO11B ;264.49;03/09/2020;
EDGA11  ;31.06;03/09/2020;
EURO11  ;214.61;03/09/2020;
FAED11  ;213.57;03/09/2020;
FAMB11B ;3142.0;03/09/2020;
FCFL11  ;112.07;03/09/2020;
FEXC11  ;105.38;03/09/2020;
FIGS11  ;62.9;03/09/2020;
FIIB11  ;469.01;03/09/2020;
FIIP11B ;188.15;03/09/2020;
FIVN11  ;4.65;03/09/2020;
FLMA11  ;3.15;03/09/2020;
FLRP11  ;1397.96;03/09/2020;
FMOF11  ;88.01;03/09/2020;
FPAB11  ;314.99;03/09/2020;
FVPQ11  ;159.94;03/09/2020;
GGRC11  ;144.99;03/09/2020;
GRLV11  ;132.95;03/09/2020;
GSFI11  ;2.75;03/09/2020;
GTWR11  ;112.18;03/09/2020;
HABT11  ;111.0;03/09/2020;
HBRH11  ;98.9;03/09/2020;
HBTT11  ;1037.0;03/09/2020;
HCRI11  ;424.2;03/09/2020;
HCTR11  ;130.45;03/09/2020;
HFOF11  ;112.73;03/09/2020;
HGBS11  ;213.0;03/09/2020;
HGCR11  ;104.8;03/09/2020;
HGFF11  ;99.49;03/09/2020;
HGLG11  ;174.28;03/09/2020;
HGPO11  ;219.98;03/09/2020;
HGRE11  ;153.0;03/09/2020;
HGRU11  ;132.0;03/09/2020;
HLOG11  ;119.02;03/09/2020;
HOSI11  ;75.1;03/09/2020;
